0.879622,-0.820415,-0.503399,-0.609151
0.684045,-0.833246,-0.656403,-0.700479
0.448656,-0.852496,-0.799257,-0.777014
0.175688,-0.877557,-0.927918,-0.836946
-0.131337,-0.90716,-1.03864,-0.878824
-0.467636,-0.939404,-1.12809,-0.901615
-0.827237,-0.971837,-1.19346,-0.90476
-1.2031,-1.00154,-1.23254,-0.888201
-1.58726,-1.02527,-1.24383,-0.852414
-1.97102,-1.03959,-1.22658,-0.798402
-2.34517,-1.04101,-1.18079,-0.727695
-2.70022,-1.02619,-1.10729,-0.642308
-3.02667,-0.992099,-1.0077,-0.544704
-3.31527,-0.936163,-0.884367,-0.437724
-3.5573,-0.856427,-0.740345,-0.324512
-3.74484,-0.751688,-0.579294,-0.208423
-3.87103,-0.621601,-0.405379,-0.0929219
-3.93026,-0.466759,-0.223152,0.018519
-3.91843,-0.288731,-0.037418,0.122533
-3.83304,-0.0900719,0.146909,0.215968
-3.67337,0.125711,0.324955,0.295986
-3.44052,0.354232,0.492032,0.360162
-3.13744,0.590333,0.643784,0.406568
-2.76887,0.828227,0.77632,0.43384
-2.34127,1.06167,0.886334,0.441227
-1.86269,1.28417,0.971205,0.428627
-1.34257,1.48917,1.02908,0.396593
-0.791482,1.6703,1.05892,0.346321
-0.220916,1.82161,1.06054,0.279619
0.357061,1.93775,1.0346,0.198848
0.930105,2.0142,0.982575,0.106851
1.48593,2.04747,0.906719,0.00686022
2.01263,2.03521,0.809955,-0.0976077
2.499,1.97636,0.695796,-0.202869
2.93486,1.87119,0.568213,-0.305193
3.31129,1.72139,0.431503,-0.400932
3.62089,1.52997,0.290141,-0.486639
3.85798,1.30129,0.148634,-0.559189
4.01871,1.04086,0.0113679,-0.615884
4.10117,0.755259,-0.117533,-0.654547
4.10543,0.451918,-0.234337,-0.673597
4.03349,0.138894,-0.335826,-0.672103
3.88919,-0.175367,-0.419383,-0.649821
3.67809,-0.482291,-0.483074,-0.607199
3.4073,-0.773449,-0.525687,-0.545365
3.08518,-1.04082,-0.546759,-0.46609
2.72115,-1.27707,-0.546565,-0.371726
2.32536,-1.47573,-0.526087,-0.265125
1.90839,-1.63148,-0.486954,-0.149546
1.48092,-1.74027,-0.431362,-0.0285373
1.05344,-1.79947,-0.361973,0.0941815
0.63594,-1.80796,-0.281804,0.214849
0.237622,-1.76614,-0.194099,0.329789
-0.133324,-1.67596,-0.102204,0.435538
-0.469933,-1.54079,-0.00943364,0.52896
-0.766633,-1.36538,0.0810484,0.607355
-1.01935,-1.15565,0.166345,0.668546
-1.22556,-0.918512,0.243926,0.710949
-1.38431,-0.661654,0.311703,0.733624
-1.49616,-0.393262,0.368099,0.736299
-1.56311,-0.121769,0.412076,0.719371
-1.58842,0.14442,0.443154,0.683884
-1.57648,0.397203,0.461397,0.631484
-1.53255,0.62904,0.467379,0.564351
-1.46258,0.833187,0.462131,0.485112
-1.3729,1.00391,0.447065,0.396744
-1.27002,1.13665,0.423885,0.302457
-1.16035,1.22817,0.394492,0.205577
-1.04997,1.27664,0.360875,0.109425
-0.94441,1.28164,0.325006,0.0171949
-0.848462,1.24422,0.28874,-0.0681604
-0.766028,1.16677,0.253714,-0.144029
-0.700002,1.05297,0.221272,-0.20823
-0.652201,0.907608,0.192394,-0.259081
-0.623336,0.736425,0.16765,-0.29545
-0.613035,0.545893,0.147174,-0.316781
-0.619899,0.342985,0.130661,-0.323099
-0.641604,0.134928,0.117386,-0.31499
-0.67504,-0.0710448,0.106244,-0.293565
-0.716471,-0.267945,0.0958126,-0.260393
-0.761729,-0.44926,0.084428,-0.217429
-0.806411,-0.609173,0.0702811,-0.16692
-0.846084,-0.742745,0.0515192,-0.111307
-0.876499,-0.846076,0.0263543,-0.0531121
-0.893777,-0.916415,-0.00682713,0.00516403
-0.894588,-0.952237,-0.0493591,0.0611494
-0.876306,-0.953276,-0.1022,0.112698
-0.837122,-0.920506,-0.165852,0.157973
-0.776136,-0.856091,-0.240293,0.19552
-0.693397,-0.763279,-0.324935,0.224318
-0.589911,-0.646276,-0.418608,0.24381
